,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
EMPRESA,VINOS,MARCA,DESCRIPCION,COSTO UNITARIO,PRECIO DE VENTA ,PRECIO DE VENTA 25%,STOCK,PROMOCION,TOTAL VENTA,NRO BOTELLAS VENDIDAS,STOCK ACTUAL,,,,,,,
,VINOS,VIÑA VIEJA ROSE,GRAN ROSE 750ML,S/ 11.30,S/16.00,,20,,,,20.00,S/226.00,,,,,,
,VINOS,VIÑA VIEJA, GRAN BORGOÑA 750ML,S/ 11.30,S/16.00,,18,,,,18.00,S/203.40,,,,,,
,VINOS,INTIPALKA,SAUVIGNON 750ML,S/ 24.60,S/35.00,,12,,,,12.00,S/295.20,,,,,,
,VINOS,INTIPALKA,TANNAT 750ML,S/ 24.60,S/35.00,,12,,,,12.00,S/295.20,,,,,,
,VINOS,INTIPALKA,SYRAH 750ML,S/ 24.60,S/35.00,,10,,,,10.00,S/246.00,,,,,,
,VINOS,INTIPALKA,MALBEC 750ML,S/ 24.60,S/35.00,,17,5 GRATIS,,,17.00,S/418.20,,,,,,
,VINOS,INTIPALKA,CHARDONAY 750ML,S/ 24.60,S/35.00,,12,,,,12.00,S/295.20,,,,,,
,VINOS,INTIPALKA,RESERVA MALBEC MERLOT 750ML,S/ 31.50,S/45.00,,10,,,,10.00,S/315.00,,,,,,
,VINOS,TABERNERO,BORGOÑA 750ML,S/ 13.36,S/19.00,,27,,,,27.00,S/360.72,,,,,,
,VINOS,TABERNERO,BLANCO 750ML,S/ 13.36,S/19.00,,46,,,,46.00,S/614.56,,,,,,
,VINOS,TABERNERO,ROSE 750ML,S/ 13.36,S/19.00,,15,,,,15.00,S/200.40,,,,,,
,VINOS,TABERNERO,BORGOÑA SELECCIÓN 750ML,S/ 14.50,S/21.00,,17,,,,17.00,S/246.50,,,,,,63
,VINOS,TABERNERO,ROSE SELECCIÓN 750ML,S/ 14.50,S/21.00,,15,,,,15.00,S/217.50,,,,,,37
,VINOS,TABERNERO,TINTO 750ML,S/ 13.36,S/19.00,,31,,,,31.00,S/414.16,,,,,,
,VINOS,TABERNERO,TUYO BORGOÑA 750ML,S/ 13.36,S/19.00,,14,,,,14.00,S/187.04,,,,,,
,VINOS,QUEIROLO,BLANCO 750ML,S/ 12.38,S/18.00,,58,,,,58.00,S/718.04,,,,,,
,VINOS,QUEIROLO,BORGOÑA 750ML,S/ 12.38,S/18.00,,45,12 GRATIS,,,45.00,S/557.10,,,,,,
,VINOS,QUEIROLO,MOSCATO 750ML,S/ 12.38,S/18.00,,24,,,,24.00,S/297.12,,,,,,
,VINOS,QUEIROLO,MAGDALENA 750ML,S/ 12.38,S/18.00,,34,,,,34.00,S/420.92,,,,,,
,VINOS,QUEIROLO,ROSE 750ML,S/ 12.38,S/18.00,,21,,,,21.00,S/259.98,,,,,,
,VINOS,QUEIROLO,SECO TANNAT 750ML,S/ 13.00,S/20.00,,21,,,,21.00,S/273.00,,,,,,
,VINOS,QUEIROLO,SECO SHIRAZ 750ML,S/ 13.00,S/20.00,,13,,,,13.00,S/169.00,,,,,,
,VINOS,QUEIROLO,SECO ROSE SHIRAZ 750ML,S/ 13.00,S/20.00,,12,,,,12.00,S/156.00,,,,,,
,VINOS,QUEIROLO,SECO MALBEC 750ML,S/ 13.00,S/20.00,,39,,,,39.00,S/507.00,,,,,,
,VINOS,QUEIROLO,WIN BOX BORGOÑA ,S/ 33.00,S/42.00,,1,,,,1.00,S/33.00,,,,,,
,VINOS,CASILLERO DEL DIABLO ,CARMENERE 750ML,S/ 29.99,S/39.00,,6,,,,6.00,S/179.94,,,,,,
,VINOS,CASILLERO DEL DIABLO ,CAB SAUVINON 750ML,S/ 29.99,S/39.00,,4,,,,4.00,S/119.96,,,,,,
,VINOS,CASILLERO DEL DIABLO ,MERLOT 750ML,S/ 29.99,S/39.00,,4,,,,4.00,S/119.96,,,,,,
,VINOS,CASILLERO DEL DIABLO ,MALBEC 750ML,S/ 29.99,S/39.00,,5,,,,5.00,S/149.95,,,,,,
,VINOS,CASILLERO DEL DIABLO ,SAUVIGNON BLANCO 750ML,S/ 29.99,S/39.00,,6,,,,6.00,S/179.94,,,,,,
,VINOS,CASILLERO DEL DIABLO ,RED BLEND  750ML,S/ 29.99,S/39.00,,5,,,,5.00,S/149.95,,,,,,
,VINOS,TACAMA,BLANCO SEMI SECO 750ML,S/ 18.99,S/24.00,,11,,,,11.00,S/208.89,,,,,,
,VINOS,TACAMA,ROSE SEMI SECO 750ML,S/ 18.99,S/24.00,,7,,,,7.00,S/132.93,,,,,,
,VINOS,TACAMA,TINTO SEMI SECO 750ML,S/ 18.99,S/24.00,,9,,,,9.00,S/170.91,,,,,,
,PISCO,TABERNERO,QUEBRANTA EDICION LIMITADA 700ML,S/ 29.00,S/40.00,,6,,,,6.00,S/174.00,,,,,,
,PISCO,TABERNERO,ITALIA EDICION LIMITADA 700ML,S/ 29.00,S/40.00,,3,,,,3.00,S/87.00,,,,,,
,PISCO,TABERNERO,QUEBRANTA LA BOTIJA 700ML,S/ 26.00,S/37.00,,6,,,,6.00,S/156.00,,,,,,
,PISCO,TABERNERO,ACHOLADO LA BOTIJA 700ML,S/ 26.00,S/37.00,,5,,,,5.00,S/130.00,,,,,,
,PISCO,TABERNERO,ITALIA LA BOTIJA700ML,S/ 26.00,S/37.00,,3,,,,3.00,S/78.00,,,,,,
,PISCO,TABERNERO,SOUR LIMON 700ML,S/ 16.00,S/21.00,,3,,,,3.00,S/48.00,,,,,,
,PISCO,TABERNERO,SOUR MARACUYA 700ML,S/ 16.00,S/21.00,,5,,,,5.00,S/80.00,,,,,,
,PISCO,TABERNERO,SOUR MANGO  700ML,S/ 16.00,S/21.00,,0,,,,0.00,S/0.00,,,,,,
,PISCO,TABERNERO,SOUR PIÑA 700ML,S/ 16.00,S/21.00,,2,,,,2.00,S/32.00,,,,,,
,PISCO,CUATRO GALLOS,QUEBRANTA,S/ 22.66,S/44.00,,5,,,,5.00,S/113.30,,,,,,
,PISCO,CUATRO GALLOS,ACHOLADO,S/ 22.66,S/44.00,,6,,,,6.00,S/135.96,,,,,,
,CHAMPAGNE,TABERNERO ,ESPECIAL ,S/ 13.00,S/16.00,,12,,,,12.00,S/156.00,,,,,,
,CHAMPAGNE,RICCADONNA,SILVER ,46.7,S/60.00,,3,,,,3.00,S/140.10,,,,,,
,CHAMPAGNE,RICCADONNA,RUBY,46.7,S/60.00,,1,,,,1.00,S/46.70,,,,,,
,CHAMPAGNE,RICCADONNA,RUBY PEQUEÑO,16,S/20.00,,2,,,,2.00,S/32.00,,,,,,
,PISCO,QUEIROLO,ITALIA 750ML ,S/ 22.66,S/33.00,,8,,,,8.00,S/181.28,,,,,,
,PISCO,QUEIROLO,ACHOLADO 750ML,S/ 22.66,S/33.00,,25,,,,25.00,S/566.50,,,,,,
,PISCO,QUEIROLO,QUEBRANTA 750ML,S/ 22.66,S/33.00,,35,,,,35.00,S/793.10,,,,,,
,TEQUILA,JOSE CUERVO ,SILVER 750ML,S/ 63.83,S/75.00,,3,,,,3.00,S/191.49,,,,,,
,TEQUILA,JOSE CUERVO ,RUBIO 750ML,S/ 63.83,S/75.00,,3,,,,3.00,S/191.49,,,,,,
59.3,TEQUILA,JIMADOR,REPOSADO 750ML,S/ 68.40,S/75.00,,3,,,,3.00,S/205.20,,,,,,
,TEQUILA,JIMADOR,BLANCO 750ML,S/ 68.40,S/75.00,,5,,,,5.00,S/342.00,,,,,,
,WHYSKY,BALLANTINES FINEST 750ML,-,S/ 36.80,S/50.00,,9,,,,9.00,S/331.20,,,,,,
708,WHYSKY,JACK DANIELS N7 750ML,-,S/ 88.90,S/121.00,,5,,,,5.00,S/444.50,,,,,,
NUEVO PRECIO,WHYSKY,GOLD LABEL,,S/ 196.87,S/255.00,,6,,,,6.00,"S/1,181.22",,,,,,
NUEVO PRECIO,WHYSKY,BLACK LABEL,,S/ 101.00,S/142.00,,4,,,,4.00,S/404.00,,,,,,
,WHYSKY,JOHNNIE WALKER ,ETIQUETA ROJA 750ML,S/ 51.80,S/70.00,,9,,,,9.00,S/466.20,,,,,,
,WHYSKY,JOHNNIE WALKER ,SWING 750ML,S/ 156.20,S/180.00,,2,,,,2.00,S/312.40,,,,,,
,WHYSKY,SOMETHING SPECIAL 750ML,,S/ 40.90,S/48.00,,4,,,,4.00,S/163.60,,,,,,
,WHYSKY,CHIVAS REGAL 18 AÑOS 700ML,,S/ 204.90,S/255.00,,3,,,,3.00,S/614.70,,,,,,
,WHYSKY,CHIVAS REGAL 12 AÑOS 700ML,,S/ 68.00,S/90.00,,5,,,,5.00,S/340.00,,,,,,
62.5,WHYSKY,OLD PARR 750ML,,S/ 80.60,S/100.00,,4,,,,4.00,S/322.40,,,,,,
,WHYSKY,JACK DANIELS HONEY  750ML,,S/ 88.90,S/121.00,,2,,,,2.00,S/177.80,,,,,,
,WHYSKY,CHIVAS REGAL EXTRA 13 AÑOS 700ML,,S/ 86.00,S/120.00,,3,,,,3.00,S/258.00,,,,,,
,WHYSKY,PASSPORT 700ML,,S/ 20.40,S/30.00,,11,,,,11.00,S/224.40,,,,,,
,WHYSKY,OLD TIMES RED 750ML,,S/ 17.90,S/25.00,,2,,,,2.00,S/35.80,,,,,,
,WHYSKY,JAMES ALEXANDER 750ML,,S/ 15.70,S/22.00,,11,,,,11.00,S/172.70,,,,,,
,WHYSKY,VAT 69 700ML,,S/ 21.30,S/30.00,,12,,,,12.00,S/255.60,,,,,,
,WHYSKY,OLD SMUGGLER,,S/ 0.00,S/19.00,,0,,,,0.00,S/0.00,,,,,,
,RON,APPLETON STATE 8 AÑOS 750ML,,S/ 67.70,S/93.00,,6,,,,6.00,S/406.20,,,,,,
,RON,CAFÉ FLOR DE CAÑA 750ML,,S/ 49.50,S/70.00,,6,,,,6.00,S/297.00,,,,,,
,RON,FLOR DE CAÑA 4 AÑOS 1LT,,S/ 43.00,S/60.00,,14,,,,14.00,S/602.00,,,,,,
,RON,FLOR DE CAÑA 4 AÑOS 750ML,,S/ 35.80,S/46.00,,5,,,,5.00,S/179.00,,,,,,
,RON,FLOR DE CAÑA 5 AÑOS 750ML,,S/ 44.30,S/60.00,,2,,,,2.00,S/88.60,,,,,,
606182989,RON ,HAVANA CLUB ESPECIAL 750ML,,35,S/42.00,,1,,,,1.00,S/35.00,,,,,,
,RON,BACARDI 200 ML,,7.5,S/10.00,,4,,,,4.00,S/30.00,,,,,,
,RON ,HAVANA CLUB ESPECIAL AÑEJO 1000ML,,41,S/51.00,,3,,,,3.00,S/123.00,,,,,,
,RON,RON APPLETON SIGNATURE 750ML,,S/ 39.10,S/55.00,,2,,,,2.00,S/78.20,,,,,,
,RON,CARTAVIO BLANCO 750ML,,S/ 21.00,S/28.00,,8,,,,8.00,S/168.00,,,,,,
,RON,CARTAVIO BLACK 750ML,,S/ 21.00,S/28.00,,17,,,,17.00,S/357.00,,,,,,
,RON,CARTAVIO SUPERIOR 750ML,,S/ 21.00,S/28.00,,16,,,,16.00,S/336.00,,,,,,
,RON ,CABO BLANCO 750ML,,S/ 13.00,S/18.00,,6,,,,6.00,S/78.00,,,,,,
,RON,CARTAVIO BLACK 250 ML,,S/ 7.70,S/11.50,,4,,,,4.00,S/30.80,,,,,,
,RON,CARTAVIO BLACK 125ML,,S/ 4.76,S/6.50,,2,,,,2.00,S/9.52,,,,,,
,RON,CARTAVIOSUPERIOR 125 ML,,S/ 4.76,S/6.50,,4,,,,4.00,S/19.04,,,,,,
,RON,POMALCA 250ML,,7.5,S/10.00,,3,,,,3.00,S/22.50,,,,,,
,VODKA,SMIRNOFF RED 700ML,,20.8,S/38.00,,7,,,,7.00,S/145.60,,,,,,
,VODKA,SMIRNOFF APPLE 700ML,,34.17,S/45.00,,2,,,,2.00,S/68.34,,,,,,
58,VODKA,SMIRNOFF ICE ORIGINAL LATA 355ML,,,S/0.00,,,,,,0.00,S/0.00,,,,,,
,VODKA,RUSSKAYA CLASICO 750 ML,,17.86,S/25.00,,0,,,,0.00,S/0.00,,,,,,
,VODKA,RUSSKAYA CLASICO 1 L,,20,S/28.00,,4,,,,4.00,S/80.00,,,,,,
,VODKA,RUSSKAYA CITRUS 750 ML,,17.86,S/25.00,,3,,,,3.00,S/53.58,,,,,,
,VODKA,ABSOLUT RASPRERRI 750ML,,S/ 40.90,S/54.00,,2,,,,2.00,S/81.80,,,,,,
39.5,VODKA,ABSOLUT CLASICO 750ML,,S/ 40.90,S/54.00,,3,,,,3.00,S/122.70,,,,,,
42.8,VODKA,ABSOLUT MANDARINA 750ML,,S/ 40.90,S/54.00,,3,,,,3.00,S/122.70,,,,,,
,VODKA,ABSOLUT PEARS 750ML,,S/ 40.90,S/54.00,,3,,,,3.00,S/122.70,,,,,,
,VODKA,ABSOLUT LIME 750ML,,S/ 40.90,S/54.00,,3,,,,3.00,S/122.70,,,,,,
,VODKA,SKYY CLASICO 750ML,,S/ 33.40,S/49.00,,2,,,,2.00,S/66.80,,,,,,
,VODKA,SKYY INFUSIONS RASPBERRY 750ML,,S/ 33.40,S/49.00,,2,,,,2.00,S/66.80,,,,,,
,VODKA,SKYY INFUSIONS CITRUS 750ML,,S/ 33.40,S/49.00,,2,,,,2.00,S/66.80,,,,,,
,CREMA,BAILEYS ORIGINAL 750ML,,62.8,S/90.00,,1,,,,1.00,S/62.80,,,,,,
,CREMA,SHERIDANS ORIGINAL 750ML,,80.9,S/100.00,,1,,,,1.00,S/80.90,,,,,,
,CREMA,DE COCO LA TABERNA 240ML PARA HACER TRAGOS,,6.5,S/9.00,,7,,,,7.00,S/45.50,,,,,,
,ANIS,NANJAR ROJO CREMA 750ML,,30.6,S/44.00,,2,,,,2.00,S/61.20,,,,,,
,ANIS,NANJAR AZUL SEMI DULCE 750ML,,26.99,S/39.00,,2,,,,2.00,S/53.98,,,,,,
,ANIS,NANJAR VERDE SECO 750ML,,26.99,S/39.00,,1,,,,1.00,S/26.99,,,,,,
,SANGRIA,TABERNERO 1000ML,,11,S/17.00,,1,,,,1.00,S/11.00,,,,,,
,SANGRIA,QUEIROLO TINTA 1000ML,,10.8,S/16.00,,10,,,,10.00,S/108.00,,,,,,
,COCTEL,PICCOLI DE CAFÉ 750ML,,19.99,S/29.00,,3,,,,3.00,S/59.97,,,,,,
,COCTEL,PICCOLI DE ALGARROBINA 750ML,,19.99,S/29.00,,0,,,,0.00,S/0.00,,,,,,
,BEBIDA GASIFICADA,GINGER,,,,,0,,,,0.00,S/0.00,,,,,,
,LICOR,JAGERMEISTER 700ML,,S/ 56.30,S/80.00,,7,,,,7.00,S/394.10,,,,,,
,LICOR,LE MANS DE MENTA 750ML PARA HACER TRAGOS,,S/ 13.50,S/19.00,,4,,,,4.00,S/54.00,,,,,,
,LICOR,AMARGO LE MANS 65ML  40% VOL ALC PARA HACER TRAGOS,,S/ 5.30,S/8.00,,4,,,,4.00,S/21.20,,,,,,
,LICOR,BLUE CURACAO 3 PLUMAS PARA HACER TRAGOS,,S/ 20.80,S/36.00,,2,,,,2.00,S/41.60,,,,,,
,LICOR,BLUE CURACAO AMSTERDAM PARA HACER TRAGOS,,S/ 30.00,S/42.00,,2,,,,2.00,S/60.00,,,,,,
,CHILCANO,TABERNERO DE MARACUYA 275ML,,S/ 4.92,S/6.50,,8,,,,8.00,S/39.36,,,,,,
,CHILCANO,TABERNERO DE LIMON 275ML,,S/ 4.92,S/6.50,,4,,,,4.00,S/19.68,,,,,,
,CHILCANO,TABERNERO DE PIÑA 275ML,,S/ 4.92,S/6.50,,4,,,,4.00,S/19.68,,,,,,
,CHILCANO,TABERNERO DE CRANBERRY 275ML,,S/ 4.92,S/6.50,,7,,,,7.00,S/34.44,,,,,,
,CHILCANO,TABERNERO DE GUARANA 275ML,,S/ 4.92,S/6.50,,7,,,,7.00,S/34.44,,,,,,
,CHILCANO,TABERNERO DE NARANJA 275ML,,S/ 4.92,S/6.50,,6,,,,6.00,S/29.52,,,,,,
,CHILCANO,CARTAVIO HIT CUBA LIBRE,,S/ 4.21,S/6.50,,6,,,,6.00,S/25.26,,,,,,
,CHILCANO,CARTAVIO HIT MOJITO,,S/ 4.21,S/6.50,,3,,,,3.00,S/12.63,,,,,,
,CHILCANO,CARTAVIO HIT PIÑA COLADA,,S/ 4.21,S/6.50,,0,,,,0.00,S/0.00,,,,,,
,CHILCANO,CARTAVIO HIT DE RON,,S/ 4.21,S/6.50,,2,,,,2.00,S/8.42,,,,,,
,SMIRNORF,SMIRNORF ICE APLE BOTELLA,,S/ 7.25,S/10.0,,8,,,,8.00,S/58.00,,,,,,
,SMIRNORF,SMIRNORF ICE RED BOTELLA,,S/ 7.25,S/10.0,,8,,,,8.00,S/58.00,,,,,,
,MIKES'S,MIKES'S MARACUYA 355 ML,,5,S/6.0,,8,,,,8.00,S/40.00,,,,,,
,MIKES'S,MIKES'S FRESA 355 ML,,5,S/6.0,,8,,,,8.00,S/40.00,,,,,,
,MIKES'S,MIKES'S  355 ML,,5,S/6.0,,8,,,,8.00,S/40.00,,,,,,
,CEREZAS ,MARRASQUINO SANTIS ROJO 283GR,,11.3,S/16.00,,9,,,,9.00,S/101.70,,,,,,
,ENERGIZANTE,RED BULL 250ML,,6.15,S/8.5,,72,,,,72.00,S/442.80,,,,,,
,ENERGIZANTE,RED BULL  TROPICAL 250ML,,0,,,0,,,,0.00,S/0.00,,,,,,
,JARABE,DE GOMA VARGAS 750ML,,11.3,S/16.00,,6,,,,6.00,S/67.80,,,,,,
,JARABE,DE GRANADINA VARGAS 750ML,,11.3,S/16.00,,5,,,,5.00,S/56.50,,,,,,
SALEM,AGUA, AGUA CIELO SIN GAS EN CAJA 20000ML,,S/ 21.47,S/ 24.00,,0,,,,0.00,S/0.00,,,,,,
,CERVEZA,CERVEZA TRES CRUCES LATA 355ML ,,S/ 2.45,S/ 3.00,,1,,,,1.00,S/2.45,,,,,,
,CERVEZA,HEINEKEN CERVEZA VIDRIO 330ML,,S/ 4.05,S/ 5.00,,0,,,,0.00,S/0.00,,,,,,
,ENERGIZANTE,SPORADE TROPICAL  500ML,,S/ 1.63,S/ 2.50,,54,,,,54.00,S/88.02,,,,,,
,JUGO,FRUTARIS,,S/ 1.25,S/ 1.50,,32,,,1,31.00,S/38.75,,,,,,
,JUGO,CIFRUT FUIT PUNCH GARDANILLA 350ML ,,S/ 1.05,S/ 1.20,,43,,,,43.00,S/45.15,,,,,,
,JUGO,CIFRUT FUIT PUNCH NARANJA 350ML,,S/ 1.05,S/ 1.20,,16,,,,16.00,S/16.80,,,,,,
,JUGO,CIFRUT FUIT PUNCH 1500ML,,,S/ 4.00,,0,,,,0.00,S/0.00,,,,,,
,ENERGIZANTE,VOLT AZUL 300ML,,S/ 1.63,S/ 2.00,,63,,,1,62.00,S/101.06,,,,,,
,ENERGIZANTE,VOLT MACA 300ML,,S/ 1.63,,,0,,,,0.00,S/0.00,,,,,,
,HIELO,DEL POLO 4KG,,S/ 0.00,S/ 6.00,,0,,,,0.00,S/0.00,,,,,,
,HIELO,NEVADA 2KG,,S/ 2.38,S/ 4.00,,5,,,,5.00,S/11.90,,,,,,
,AGUA,VIDA DE 500 ML,,S/ 0.68,S/ 1.00,,48,,,,48.00,S/32.64,,,,,,
,AGUA,AGUA CIELO SIN GAS 625ML,,0.77,S/ 1.20,,148,,,,148.00,S/113.96,,,,,,
,AGUA,AGUA CIELO SIN GAS 7000 ML,,6.86,S/ 9.00,,3,,,,3.00,S/20.58,,,,,,
CBC MARKET,GASEOSA,PEPSI COLA 3000ML,,S/ 7.25,S/ 9.00,,9,,,,9.00,S/65.25,,,,,,
,GASEOSA,PEPSI COLA 1500ML,,S/ 3.75,S/ 5.50,,10,,,,10.00,S/37.50,,,,,,
,GASEOSA,PEPSO COLA 2000ML,,,,,,,,,0.00,S/0.00,,,,,,
,GASEOSA,PEPSI COLA 500ML,,S/ 1.66,S/ 2.00,,16,,,1,15.00,S/24.90,,,,,,
,GASEOSA,SEVEN UP 3000ML,,S/ 6.87,S/ 8.50,,0,,,,0.00,S/0.00,,,,,,
,GASEOSA,EVERVESS GINGER ALE 1500ML,,S/ 5.00,S/ 7.00,,19,,,,19.00,S/95.00,,,,,,
,AGUA,SAN CARLOS 625ML,,S/ 0.80,S/ 1.50,,24,,,,24.00,S/19.20,,,,,,
,AGUA,SAN MATEO 600ML,,,S/ 1.50,,0,,,,0.00,S/0.00,,,,,,
,AGUA,SAN CARLOS CON GAS 625ML,,S/ 0.80,S/ 1.50,,31,,,,31.00,S/24.80,,,,,,
,AGUA,SAN CARLOS 3000ML,,S/ 2.38,S/ 4.00,,14,,,,14.00,S/33.25,,,,,,
,ENERGIZANTE,GATORADE 500 ML,,S/ 1.40,S/ 2.50,,10,,,,10.00,S/14.00,,,,,,
COMERCIALIZADORA DE BEBIDAS SAC,GASEOSA,COCA COLA 600ML,,S/ 2.75,S/ 3.00,,17,,,,17.00,S/46.75,,,,,,
,GASEOSA,COCA COLA 600ML SIN AZUCAR,,S/ 2.75,S/ 3.00,,0,,,,0.00,S/0.00,,,,,,
,GASEOSA,COCA COLA 1000ML ,,S/ 2.74,S/ 4.50,,8,,,,8.00,S/21.92,,,,,,
,GASEOSA,COCA COLA 1000ML VIDRIO,,S/ 3.26,S/ 4.50,,14,,,,14.00,S/45.64,,,,,,
,GASEOSA,COCA COLA 1500ML SIN AZUCAR ,,S/ 5.20,S/ 6.50,,16,,,,16.00,S/83.20,,,,,,
,GASEOSA,COCA COLA 2500ML ,,S/ 6.50,S/ 9.50,,16,,,,16.00,S/104.00,,,,,,
,GASEOSA,INCA COLA 600ML,,S/ 2.75,S/ 3.00,,14,,,1,13.00,S/35.75,,,,,,
,GASEOSA,INKA COLA 600ML SIN AZUCAR,,S/ 2.74,S/ 3.00,,0,,,,0.00,S/0.00,,,,,,
,GASEOSA,INKA COLA 1000ML,,S/ 2.74,S/ 4.50,,12,,,,12.00,S/32.88,,,,,,
,GASEOSA,INKA COLA 1500ML SIN AZUCAR,,S/ 5.20,S/ 6.50,,7,,,,7.00,S/36.40,,,,,,
,GASEOSA,INKA COLA 2500ML,,6.5,S/ 9.50,,10,,,,10.00,S/65.00,,,,,,
,GASEOSA,CONCORDIA ROJA 3000 ML,,1.7,S/ 9.00,,7,,,,7.00,S/11.90,,,,,,
,GASEOSA,CONCORDIA ROJA 500 ML,,1.7,S/ 2.00,,27,,,,27.00,S/45.90,,,,,,
